abandon,покидать
ability, способность
able, способный
about, о
above, выше
abroad, за границей
absolute, абсолютный
absolutely, абсолютно
academic, академический
accept, принимать
acceptable, приемлемый
access, доступ
accident, несчастный случай
accommodation, размещение
accompany, сопровождать
according, согласно
account, счет
accurate, точный
accuse, обвинять
achieve, достигать
achievement, достижение
acknowledge, сознавать
acquire, приобретать
across, через
act, действовать
action, действие
active, активный
activity, активность
actor, актер
actress, актриса
actual, действительный
actually, на самом деле
ad, объявление
adapt, адаптироваться
add, добавлять
addition, добавление
additional, дополнительный
address, адрес
administration, администрация
admire, восхищаться
admit, признавать
adopt, усыновить
adult, взрослый
advance, продвигать
advanced, передовой
advantage, преимущество
adventure, приключение
advertise, рекламировать
advertisement, реклама
advertising, реклама
advice, совет
advise, советовать
affair, роман
affect, оказывать воздействие
afford, предоставлять
afraid, испуганный
after, после
afternoon, полдень
afterwards, после
again, снова
against, против
age, возраст
aged, в возрасте
agency, агентство
agenda, повестка дня
agent, агент
aggressive, агрессивный
ago, назад
agree, соглашаться
agreement, соглашение
ah, ах
ahead, предстоящий
aid, помогать
aim, цель
air,воздух
aircraft, самолет
airline, авиакомпания
airport, аэропорт
alarm, тревога
album, альбом
alcohol, алкоголь
alcoholic, алкоголик
alive, живой
all, все
all, все
allow, позволять
almost, почти
alone, один
along, вдоль
already, уже
also, также
alter, изменить
alternative, альтернатива
although, хотя
always, всегда
amazed, поражен
amazing, удивительный
ambition, амбиции
ambitious, амбициозный
among, среди
amount, количество
analyse, анализировать
analysis, анализ
ancient, древний
and, и
anger, злость
angle, угол
angry, злой
animal, животное
ankle, лодыжка
anniversary, годовщина
announce, объявлять
announcement, объявление
annoy, раздражать
annoyed, раздраженный
annoying, раздражающий
annual, ежегодный
another, другой
answer, отвечать
anxious, тревожный
any, любой
anybody, кто-нибудь
any, любой
anyone, любой
anything, что-либо
anyway, в любом случае
anywhere, где угодно
apart, отдельно
apartment, квартира
apologize, извиняться
app, приложение
apparent, очевидный
apparently, видимо
appeal, обращаться
appear, появляться
appearance, появление
apple, яблоко
application, приложение
apply, применять
appointment, встреча
appreciate, ценить
approach, подход
appropriate, соответствующий
approval, одобрение
