to abandon,отказаться
ability, способность
able, способный
about, о
above, выше
abroad, за границей
absolute, абсолютный
absolutely, абсолютно
academic, академический
to accept, принять
acceptable, приемлемый
access, доступ
accident, несчастный случай
accommodation, размещение
to accompany, сопровождать
according to, в соответствии с
account, счет
accurate, точный
to accuse, обвинять
to achieve, достичь
achievement, достижение
to acknowledge, признать
to acquire, приобретать
across, через
to act, действовать
action, действие
active, активный
activity, активность
actor, актер
actress, актриса
actual, действительный
actually, на самом деле
ad, объявление
to adapt, адаптироваться
to add, добавить
addition, добавление
additional, дополнительный
address, адрес
administration, администрация
to admire, восхищаться
to admit, признать
to adopt, принять
adult, взрослый
advance, продвигать
advanced, передовой
advantage, преимущество
adventure, приключение
to advertise, рекламировать
advertisement, реклама
advertising, реклама
advice, совет
to advise, советовать
affair, роман
to affect, влиять
to afford, позволить себе
afraid, испуганный
after, после
afternoon, полдень
afterwards, после
again, снова
against, против
age, возраст
aged, в возрасте
agency, агентство
agenda, повестка дня
agent, агент
aggressive, агрессивный
ago, назад
to agree, согласиться
agreement,соглашение
ah, ах
ahead, предстоящий
aid, помогать
to aim, целиться
air, воздух
aircraft, самолет
airline, авиакомпания
airport, аэропорт
alarm, тревога
album, альбом
alcohol, алкоголь
alcoholic, алкоголик
alive, живой
all, все
all right, все в порядке
to allow, разрешить
almost, почти
alone, один
along, вдоль
already, уже
also, также
to alter, изменить
alternative, альтернатива
although, хотя
always, всегда
amazed, поражен
amazing, удивительный
ambition, амбиции
ambitious, амбициозный
among, среди
amount, количество
to analyse, анализировать
analysis, анализ
ancient, древний
and, и
anger, злость
angle, угол
angry, злой
animal, животное
ankle, лодыжка
anniversary, годовщина
to announce, объявить
announcement, объявление
to annoy, раздражать
annoyed, раздраженный
annoying, раздражающий
annual, ежегодный
another, другой
answer, отвечать
anxious, тревожный
any, любой
anybody, кто-нибудь
any more, больше
anyone, любой
anything, что-либо
anyway, в любом случае
anywhere, где угодно
apart, отдельно
apartment, квартира
to apologize, извиниться
app, приложение
apparent, очевидный
apparently, видимо
appeal, обращаться
to appear, появляться
appearance, появление
apple, яблоко
application, приложение
to apply, применять
appointment, встреча
