be	was; were	been	быть
bear	bore	born; borne	родить
beat	beat	beaten	бить
become	became	become	становиться
begin	began	begun	начинать
bind	bound	bound	связать
bite	bit	bit; bitten	кусать
bleed	bled	bled	кровоточить
blow	blew	blown	дуть
break	broke	broken	ломать
bring	brought	brought	приносить
build	built	built	строить
burn	burnt; burned	burnt; burned	жечь; гореть
buy	bought	bought	покупать
can	could	could	мочь; уметь
catch	caught	caught	ловить,хватать,успеть
choose	chose	chosen	выбирать
come	came	come	приходить
cost	cost	cost	стоить
cut	cut	cut	резать
do	did	done	делать
draw	drew	drawn	рисовать,тащить
dream	dreamt; dreamed	dreamt; dreamed	грезить; мечтать
drink	drank	drunk	пить
drive	drove	driven	водить (машину etc.)
eat	ate	eaten	кушать; есть
fall	fell	fallen	падать
feed	fed	fed	кормить
feel	felt	felt	чувствовать
fight	fought	fought	сражаться; бороться
find	found	found	находить
fit	fit	fit	подходить по размеру
fly	flew	flown	летать
forbid	forbad; forbade	forbidden	запрещать
forget	forgot	forgotten	забывать
forgive	forgave	forgiven	прощать
freeze	froze	frozen	замерзать
get	got	got	получать
give	gave	given	давать
go	went	gone	идти
grow	grew	grown	расти
hang	hung	hung	вешать
have	had	had	иметь
hear	heard	heard	слушать
hide	hid	hidden	прятать(ся)
hit	hit	hit	ударять; попадать
hold	held	held	держать
hurt	hurt	hurt	причинить боль
keep	kept	kept	хранить; содержать
knit	knit; knitted	knit; knitted	вязать
know	knew	known	знать
lay	laid	laid	класть; положить
lead	led	led	вести
learn	learnt; learned	learnt; learned	учить
leave	left	left	оставить
lend	lent	lent	одалживать
let	let	let	позволять
lie	lay	lain	лежать
light	lit; lighted	lit; lighted	освещать
lose	lost	lost	терять
make	made	made	делать; производить
may	might	might	мочь; иметь возможность
mean	meant	meant	подразумевать
meet	met	met	встретить
misspell	misspelt; misspeled	misspelt; misspeled	писать с ошибками
mistake	mistook	mistaken	ошибаться
misunderstand	misunderstood	misunderstood	неправильно понимать
overlay	overlaid	overlaid	покры(ва)ть
pay	paid	paid	платить
prove	proved	proved; proven	доказывать; оказаться
put	put	put	класть
read	read	read	читать
rid	rid; ridded	rid; ridded	избавлять
ride	rode	ridden	ездить верхом
ring	rang	rung	звонить
rise	rose	risen	подняться
run	ran	run	бежать; течь
say	said	said	говорить; сказать
see	saw	seen	видеть
sell	sold	sold	продавать
send	sent	sent	посылать
set	set	set	ставить; устанавливать
shake	shook	shaken	трясти
shave	shaved	shaved; shaven	брить(ся)
shine	shone	shone	светить; сиять
shoot	shot	shot	стрелять; давать побеги
show	showed	shown	показывать
shut	shut	shut	закрывать
sing	sang	sung	петь
sink	sank	sunk	погружаться; тонуть
sit	sat	sat	сидеть
sleep	slept	slept	спать
smell	smelt; smelled	smelt; smelled	пахнуть; нюхать
speak	spoke	spoken	говорить
speed	sped	sped	ускорять; спешить
spell	spelt; spelled	spell; spelled	писать / читать по буквам
spend	spent	spent	тратить
spoil	spoilt; spoiled	spoilt; spoiled	портить
spread	spread	spread	распространиться
stand	stood	stood	стоять
steal	stole	stolen	красть
strike	struck	struck	ударить; бить; бастовать
swear	swore	sworn	клясться; присягнуть
sweep	swept	swept	мести; промчаться
swim	swam	swum	плавать
take	took	taken	взять; брать
teach	taught	taught	учить
tell	told	told	рассказывать; сказать
think	thought	thought	думать
throw	threw	thrown	бросить
undergo	underwent	undergone	проходить; подвергаться
underlie	underlay	underlain	лежать в основе
understand	understood	understood	понимать
undo	undid	undone	уничтожать сделанное
upset	upset	upset	опрокинуть(ся)
wake	woke	woken	просыпаться; будить
wear	wore	worn	носить (одежду)
wed	wed; wedded	wed; wedded	выдавать замуж
wet	wet; wetted	wet; wetted	мочить; увлажнять
win	won	won	выигрывать
withdraw	withdrew	withdrawn	взять назад; отозвать
write	wrote	written	писать
