She walks to school every day.,Она ходит в школу каждый день.
He plays soccer on weekends., По выходным он играет в футбол.
They eat breakfast together in the morning., Утром они вместе завтракают.
The sun rises in the east., Солнце встает на востоке.
I read a book before bed., Я читаю книгу перед сном.
You always help your friends., Ты всегда помогаешь своим друзьям.
The train leaves at 6 PM., Поезд отправляется в 18:00.
We enjoy hiking in the mountains., Мы любим походы в горы.
She studies English every afternoon., Каждый день после обеда она изучает английский язык.
He likes to watch movies on Fridays., По пятницам он любит смотреть фильмы.
Birds sing in the spring., Весной поют птицы.
It rains a lot in the fall., Осенью часто идут дожди.
My brother works at a grocery store., Мой брат работает в продуктовом магазине.
The baby sleeps through the night., Ребенок спит всю ночь.
Cats chase mice., Кошки гоняются за мышами.
We often visit our grandparents., Мы часто навещаем наших бабушек и дедушек.
You travel to different countries for work., Вы ездите в разные страны по работе.
The library opens at 9 AM., Библиотека открывается в 9 утра.
I drink coffee in the morning., Я пью кофе по утрам.
They celebrate their birthdays in July., Они отмечают свои дни рождения в июле.
She is walking to school right now., Сейчас она идет в школу.
He is playing soccer with his friends., Он играет в футбол со своими друзьями.
They are eating dinner at the moment., В данный момент они ужинают.
The sun is shining brightly today., Сегодня ярко светит солнце.
I am reading a fascinating book., Я читаю увлекательную книгу.
You are always helping your classmates., Ты всегда помогаешь своим одноклассникам.
The train is arriving at the station.,Поезд прибывает на станцию.
We are enjoying our vacation this week., На этой неделе мы наслаждаемся отпуском.
She is studying for her exams., Она готовится к экзаменам.
He is watching a movie right now., Прямо сейчас он смотрит фильм.
The kids are playing in the park., Дети играют в парке.
It is raining outside., На улице идет дождь.
My brother is working on a new project., Мой брат работает над новым проектом.
The baby is sleeping peacefully., Ребенок мирно спит.
Cats are chasing butterflies in the garden., Кошки гоняются за бабочками в саду.
We are visiting our friends this weekend., В эти выходные мы навещаем друзей.
You are traveling to Paris next month., В следующем месяце вы едете в Париж.
The library is closing early today., Библиотека сегодня закрывается рано.
